starting worker pid=4448 on localhost:11177 at 04:12:45.248
starting worker pid=5624 on localhost:11177 at 04:12:45.708
starting worker pid=3656 on localhost:11177 at 04:12:45.984
starting worker pid=6188 on localhost:11177 at 04:12:46.270

011-E164-033WL Progress 0 % 
  localhost:11177  4448 : Re 1000 AoA -5 5:45:20 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  4448 : Re 1000 AoA -5 5:45:22 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  5624 : Re 1000 AoA-10 5:45:22 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  4448 : Re 1000 AoA -5 5:45:26 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  4448 : Re 1000 AoA -5 5:45:33 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  5624 : Re 1000 AoA-10 5:48:32 AM | Boundary Layers Calculated 
  localhost:11177  5624 : Re 1000 AoA-10 5:48:36 AM | Boundary Layers Plotted 
  localhost:11177  5624 : Re 1000 AoA-10 5:49:09 AM | Velocity Profiles Calculated 
  localhost:11177  5624 : Re 1000 AoA-10 5:49:12 AM | Velocity Profiles Plotted 
  localhost:11177  5624 : Re 1000 AoA-10 5:49:13 AM | Completed:  4.30269622802734 Mb 
  localhost:11177  4448 : Re 1000 AoA -5 5:50:34 AM | Boundary Layers Calculated 
  localhost:11177  4448 : Re 1000 AoA -5 5:50:37 AM | Boundary Layers Plotted 
  localhost:11177  4448 : Re 1000 AoA -5 5:51:03 AM | Velocity Profiles Calculated 
  localhost:11177  4448 : Re 1000 AoA -5 5:51:09 AM | Velocity Profiles Plotted 
  localhost:11177  4448 : Re 1000 AoA -5 5:51:10 AM | Completed:  4.303955078125 Mb 
  localhost:11177  6188 : Re 1000 AoA-20 5:53:44 AM | Boundary Layers Calculated 
  localhost:11177  6188 : Re 1000 AoA-20 5:53:49 AM | Boundary Layers Plotted 
  localhost:11177  6188 : Re 1000 AoA-20 5:54:33 AM | Velocity Profiles Calculated 
  localhost:11177  6188 : Re 1000 AoA-20 5:54:37 AM | Velocity Profiles Plotted 
  localhost:11177  6188 : Re 1000 AoA-20 5:54:38 AM | Completed:  4.26620483398438 Mb 
  localhost:11177  3656 : Re 1000 AoA-15 5:56:52 AM | Boundary Layers Calculated 
  localhost:11177  3656 : Re 1000 AoA-15 5:56:56 AM | Boundary Layers Plotted 
  localhost:11177  3656 : Re 1000 AoA-15 5:57:32 AM | Velocity Profiles Calculated 
  localhost:11177  3656 : Re 1000 AoA-15 5:57:34 AM | Velocity Profiles Plotted 
  localhost:11177  3656 : Re 1000 AoA-15 5:57:35 AM | Completed:  4.2999267578125 Mb 

011-E164-033WL Progress 50 % 
  localhost:11177  3656 : Re 1000 AoA  5 5:57:43 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  6188 : Re 1000 AoA 10 5:57:44 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  4448 : Re 1000 AoA-40 5:57:44 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  6188 : Re 1000 AoA 10 5:57:44 AM | Aerofoil Coordinates Calculated 
  localhost:11177  3656 : Re 1000 AoA  5 5:57:44 AM | Aerofoil Coordinates Calculated 
  localhost:11177  4448 : Re 1000 AoA-40 5:57:44 AM | Aerofoil Coordinates Calculated 
  localhost:11177  5624 : Re 1000 AoA  0 5:57:46 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  5624 : Re 1000 AoA  0 5:57:47 AM | Aerofoil Coordinates Calculated 
  localhost:11177  3656 : Re 1000 AoA  5 5:57:47 AM | Aerofoil Surface Values Plotted 
  localhost:11177  6188 : Re 1000 AoA 10 5:57:48 AM | Aerofoil Surface Values Plotted 
  localhost:11177  4448 : Re 1000 AoA-40 5:57:48 AM | Aerofoil Surface Values Plotted 
  localhost:11177  3656 : Re 1000 AoA  5 5:57:48 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  6188 : Re 1000 AoA 10 5:57:49 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  3656 : Re 1000 AoA  5 5:57:50 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  6188 : Re 1000 AoA 10 5:57:51 AM | Aerofoil Cp and Vort Plotted 
