                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.48500000000000316E+01  0.30528004663542413E-01  0.37816138559916029E-01  0.68344143223458442E-01  0.35181350664843090E-01  0.28418291129997915E-02  0.38023179777842885E-01
  0.49000000000000039E+01  0.30520887103548996E-01  0.37785414736606522E-01  0.68306301840155514E-01  0.33832681140458565E-01  0.28248155750158817E-02  0.36657496715474448E-01
  0.49499999999999762E+01  0.30528264248045660E-01  0.37760398156425144E-01  0.68288662404470804E-01  0.32397137131111295E-01  0.28065404676207773E-02  0.35203677598732074E-01
  0.49999999999999485E+01  0.30547356783347138E-01  0.37740926890613133E-01  0.68288283673960268E-01  0.30905569934685254E-01  0.27876771346190929E-02  0.33693247069304350E-01
  0.50499999999999208E+01  0.30574958522737779E-01  0.37726439703042312E-01  0.68301398225780088E-01  0.29377545037037454E-01  0.27687551574592305E-02  0.32146300194496685E-01
  0.50999999999998931E+01  0.30607926066976172E-01  0.37716119765956804E-01  0.68324045832932973E-01  0.27825046407147721E-01  0.27501025847954867E-02  0.30575148991943208E-01
  0.51499999999998654E+01  0.30643592140340178E-01  0.37709047078576030E-01  0.68352639218916211E-01  0.26259135907359385E-01  0.27318714200094238E-02  0.28991007327368808E-01
  0.51999999999998376E+01  0.30679986804049680E-01  0.37704314066260923E-01  0.68384300870310610E-01  0.24695863951281483E-01  0.27141242367334601E-02  0.27409988188014944E-01
  0.52499999999998099E+01  0.30715838328643094E-01  0.37701087862275218E-01  0.68416926190918312E-01  0.23158653107968025E-01  0.26969324437274345E-02  0.25855585551695461E-01
  0.52999999999997822E+01  0.30750418265427466E-01  0.37698629553325189E-01  0.68449047818752662E-01  0.21676554154294383E-01  0.26804376673218778E-02  0.24356991821616263E-01
  0.53499999999997545E+01  0.30783332947603853E-01  0.37696292587810258E-01  0.68479625535414118E-01  0.20279669537212795E-01  0.26648528404757039E-02  0.22944522377688500E-01
  0.53999999999997268E+01  0.30814344394562675E-01  0.37693519566294492E-01  0.68507863960857174E-01  0.18993842781843483E-01  0.26504131416605304E-02  0.21644255923504014E-01
  0.54499999999996991E+01  0.30843261864007834E-01  0.37689846691567823E-01  0.68533108555575650E-01  0.17836513147539569E-01  0.26373103183926902E-02  0.20473823465932260E-01
  0.54999999999996714E+01  0.30869908050029257E-01  0.37684916644125772E-01  0.68554824694155025E-01  0.16814850018111453E-01  0.26256452815822170E-02  0.19440495299693668E-01
  0.55499999999996437E+01  0.30894141645358360E-01  0.37678496851101625E-01  0.68572638496459989E-01  0.15926315550078875E-01  0.26154158832606320E-02  0.18541731433339505E-01
  0.55999999999996160E+01  0.30915912155893358E-01  0.37670498585553110E-01  0.68586410741446474E-01  0.15161027035216570E-01  0.26065347404346309E-02  0.17767561775651201E-01
  0.56499999999995882E+01  0.30935324752497877E-01  0.37660989952999525E-01  0.68596314705497402E-01  0.14504926091175527E-01  0.25988604624046369E-02  0.17103786553580164E-01
  0.56999999999995605E+01  0.30952689700846102E-01  0.37650193919233882E-01  0.68602883620079991E-01  0.13942770144789089E-01  0.25922275017266662E-02  0.16534997646515753E-01
  0.57499999999995328E+01  0.30968524801008621E-01  0.37638465116044649E-01  0.68606989917053274E-01  0.13460197339364570E-01  0.25864679410552947E-02  0.16046665280419863E-01
  0.57999999999995051E+01  0.30983488909357183E-01  0.37626246737910832E-01  0.68609735647268022E-01  0.13044528879048885E-01  0.25814252307994430E-02  0.15625954109848329E-01
  0.58499999999994774E+01  0.30998257309734413E-01  0.37614016530849358E-01  0.68612273840583771E-01  0.12684517208898660E-01  0.25769624776997898E-02  0.15261479686598450E-01
  0.58999999999994497E+01  0.31013383748307990E-01  0.37602233274682248E-01  0.68615617022990238E-01  0.12369699481092721E-01  0.25729672561707342E-02  0.14942666737263455E-01
  0.59499999999994220E+01  0.31029200109055702E-01  0.37591291843517824E-01  0.68620491952573526E-01  0.12090074229950974E-01  0.25693530113630584E-02  0.14659427241314032E-01
  0.59999999999993943E+01  0.31045780008533669E-01  0.37581490287007649E-01  0.68627270295541318E-01  0.11836430773759850E-01  0.25660559301580676E-02  0.14402486703917918E-01
  0.60499999999993666E+01  0.31062962666008890E-01  0.37573010400208835E-01  0.68635973066217729E-01  0.11601134170861246E-01  0.25630271275611559E-02  0.14164161298422403E-01
  0.60999999999993388E+01  0.31080422001680864E-01  0.37565913504181994E-01  0.68646335505862854E-01  0.11378904608629867E-01  0.25602229977384461E-02  0.13939127606368314E-01
  0.61499999999993111E+01  0.31097770189699760E-01  0.37560152349323181E-01  0.68657922539022948E-01  0.11167250096285773E-01  0.25575993469169086E-02  0.13724849443202682E-01
  0.61999999999992834E+01  0.31114683742690826E-01  0.37555596561468896E-01  0.68670280304159725E-01  0.10966479770292772E-01  0.25551143638437310E-02  0.13521594134136502E-01
  0.62499999999992557E+01  0.31131022607403313E-01  0.37552064825764543E-01  0.68683087433167853E-01  0.10779347914687433E-01  0.25527404929836747E-02  0.13332088407671108E-01
